@iter
unbpe finished for wait 1..10(catchup) for both dev/test set
----------BLEU on dev----------
4 refences
wait 5  BLEU = 8.69, 75.3/46.0/28.9/19.2 (BP=0.233, ratio=0.407, hyp_len=8956, ref_len=21987)
wait 6  BLEU = 5.05, 76.0/46.0/29.7/19.7 (BP=0.134, ratio=0.332, hyp_len=7241, ref_len=21819)
wait 7  BLEU = 0.79, 78.2/49.8/33.9/23.1 (BP=0.019, ratio=0.201, hyp_len=4349, ref_len=21627)
wait 8  BLEU = 2.10, 76.2/46.8/31.0/21.2 (BP=0.054, ratio=0.255, hyp_len=5524, ref_len=21692)
wait 9  BLEU = 0.96, 78.0/48.9/33.0/22.7 (BP=0.023, ratio=0.210, hyp_len=4555, ref_len=21668)
wait 10  BLEU = 0.45, 78.0/49.7/33.1/22.9 (BP=0.011, ratio=0.181, hyp_len=3923, ref_len=21641)
ref 0 1 2
tgt 3   BLEU = 34.07, 74.3/43.6/26.0/16.0 (BP=1.000, ratio=1.012, hyp_len=23554, ref_len=23277)
wait 1  BLEU = 29.96, 68.4/39.2/23.4/14.4 (BP=0.972, ratio=0.973, hyp_len=22402, ref_len=23031)
wait 2  BLEU = 29.48, 69.8/40.6/24.7/15.9 (BP=0.908, ratio=0.912, hyp_len=20818, ref_len=22830)
wait 3  BLEU = 25.34, 70.1/41.1/25.1/16.1 (BP=0.771, ratio=0.794, hyp_len=18022, ref_len=22699)
wait 4  BLEU = 16.48, 73.1/43.4/27.5/18.2 (BP=0.465, ratio=0.566, hyp_len=12422, ref_len=21946)
wait 5  BLEU = 9.08, 74.1/45.4/29.1/19.5 (BP=0.244, ratio=0.415, hyp_len=8956, ref_len=21573)
wait 6  BLEU = 5.28, 75.1/45.5/29.2/19.4 (BP=0.141, ratio=0.338, hyp_len=7241, ref_len=21402)
wait 7  BLEU = 0.86, 76.6/48.6/33.3/23.4 (BP=0.021, ratio=0.205, hyp_len=4349, ref_len=21175)
wait 8  BLEU = 2.25, 75.1/45.9/30.6/21.2 (BP=0.058, ratio=0.260, hyp_len=5524, ref_len=21249)
wait 9  BLEU = 1.05, 76.9/48.1/32.7/22.8 (BP=0.026, ratio=0.215, hyp_len=4555, ref_len=21203)
wait 10  BLEU = 0.50, 76.5/48.6/32.4/22.9 (BP=0.012, ratio=0.185, hyp_len=3923, ref_len=21178)
----------BLEU on test----------
4 refences
wait_1  BLEU = 25.28, 63.9/33.8/19.0/11.0 (BP=0.976, ratio=0.976, hyp_len=22157, ref_len=22704)
wait_2  BLEU = 22.18, 66.5/36.1/20.6/12.3 (BP=0.795, ratio=0.813, hyp_len=18041, ref_len=22182)
wait_3  BLEU = 19.94, 67.9/37.8/21.9/13.1 (BP=0.681, ratio=0.722, hyp_len=15983, ref_len=22123)
wait_4  BLEU = 9.88, 69.6/40.2/24.3/14.8 (BP=0.312, ratio=0.462, hyp_len=9923, ref_len=21484)
